text,label
Вас беспокоит сотрудник правоохранительных органов. Ваши данные используются в мошеннической схеме. Для защиты необходимо выполнить инструкции.,fraud
Говорит следователь полиции. Ваш счёт замечен в незаконной операции. Немедленно переведите средства на защищённый счёт.,fraud
Это офицер ФСБ. Ваши банковские данные использованы преступниками. Для сохранности средств выполните наши инструкции.,fraud
Сотрудник прокуратуры. На вас открыто уголовное дело за финансовые махинации. Для урегулирования свяжитесь с нами.,fraud
Звонит оперативник МВД. Ваш телефон зарегистрирован в преступной сети. Срочно выполните наши указания.,fraud
Это служба финансового мониторинга. Ваш счёт заблокирован по подозрению в отмывании денег. Позвоните нам.,fraud
Следственный комитет. Вы являетесь свидетелем по делу о мошенничестве. Для дачи показаний позвоните по номеру.,fraud
Офицер полиции. Ваша карта использована для финансирования незаконной деятельности. Выполните наши инструкции.,fraud
Это сотрудник антикоррупционного бюро. Ваши данные фигурируют в расследовании. Не разглашайте этот звонок.,fraud
Это налоговая полиция. Выявлены нарушения в ваших финансовых операциях. Срочно свяжитесь со следователем.,fraud
Федеральная служба безопасности. Ваш счёт используется террористами. Для защиты переведите средства.,fraud
Сотрудник Интерпола. Ваши данные фигурируют в международном деле о мошенничестве. Выполните инструкции.,fraud
Оперативник уголовного розыска. На вас поступил донос о финансовых преступлениях. Необходима ваша помощь.,fraud
Это государственная служба безопасности. Ваш телефон прослушивается преступниками. Для защиты позвоните нам.,fraud
Следователь по особо важным делам. Ваш счёт арестован судом. Для разъяснений немедленно свяжитесь с нами.,fraud
Сотрудник киберполиции. Ваши данные были похищены хакерами. Для защиты выполните срочные инструкции.,fraud
Офицер службы безопасности. Против вас возбуждено административное дело. Позвоните для урегулирования.,fraud
Это представитель прокуратуры. Ваши средства участвуют в незаконной схеме. Срочно переведите на безопасный счёт.,fraud
Звонит детектив по финансовым преступлениям. Вы жертва мошенников. Мы поможем вернуть средства. Позвоните.,fraud
Сотрудник правоохранительных органов. Ваш аккаунт взломан преступной группировкой. Выполните наши инструкции.,fraud
Это оперативная служба МВД. Ваши данные проданы на чёрном рынке. Срочно примите меры по нашей инструкции.,fraud
Следователь финансовой полиции. На вашем счёте обнаружены подозрительные операции. Позвоните для выяснения.,fraud
Офицер ФСБ по киберпреступлениям. Ваш телефон используется в мошеннической схеме. Не сообщайте никому.,fraud
Служба внутренней безопасности банка совместно с полицией. Ваши деньги в опасности. Выполните инструкции.,fraud
Говорит следователь. Вы являетесь соучастником преступления по незнанию. Для снятия обвинений позвоните нам.,fraud
Сотрудник отдела по борьбе с мошенничеством. Преступники используют ваши данные прямо сейчас. Действуйте.,fraud
Это оперуполномоченный. Ваш счёт заморожен по решению суда. Для разъяснений немедленно свяжитесь с нами.,fraud
Звонит офицер полиции. Ваши персональные данные утекли в преступную организацию. Срочно позвоните нам.,fraud
Национальное агентство по борьбе с преступностью. Ваши средства под угрозой. Выполните наши инструкции.,fraud
Говорит следователь прокуратуры. Ваш счёт используется для незаконных переводов. Для защиты позвоните.,fraud
Это офицер по финансовой безопасности. Мошенники оформили кредит на ваше имя. Срочно позвоните нам.,fraud
Говорит детектив. Ваши данные использованы для создания фиктивных счетов. Выполните наши инструкции.,fraud
Это служба защиты свидетелей. Вы стали жертвой преступной группы. Для защиты необходимо сотрудничество.,fraud
Оперативник антимошеннической службы. Против вас действует организованная группа. Немедленно позвоните.,fraud
Сотрудник правопорядка. Ваши деньги переводятся мошенниками прямо сейчас. Срочно выполните инструкции.,fraud
Это лейтенант полиции. На ваш счёт поступили средства от преступной деятельности. Позвоните для выяснения.,fraud
Звонит капитан службы безопасности. Ваши данные в базе преступников. Для очистки выполните инструкции.,fraud
Это следователь по делу о хищении. Ваш счёт был использован без вашего ведома. Необходима ваша помощь.,fraud
Сотрудник финансовой разведки. Через ваш счёт проходят незаконные транзакции. Срочно позвоните нам.,fraud
Говорит офицер полиции. Мошенники оформили кредиты на ваше имя. Для отмены позвоните немедленно.,fraud
Это агент государственной безопасности. Ваш телефон прослушивается. Перезвоните с другого номера.,fraud
Оперуполномоченный МВД. Вы подозреваетесь в незаконных финансовых операциях. Позвоните для дачи показаний.,fraud
Это прокурор района. Ваши средства будут конфискованы. Для предотвращения срочно выполните инструкции.,fraud
Сотрудник службы финансового контроля. Ваш счёт нарушает законодательство. Немедленно свяжитесь с нами.,fraud
Звонит полковник полиции. Вы жертва крупного мошенничества. Для возврата средств выполните инструкции.,fraud
Это офицер Интерпола. Ваши данные использованы в международном мошенничестве. Срочно позвоните нам.,fraud
Говорит следователь по делу. Ваши показания важны для расследования. Для встречи позвоните по номеру.,fraud
Сотрудник антикоррупционного отдела. Ваше имя фигурирует в деле о взятках. Позвоните для разъяснений.,fraud
Это служба судебных приставов. Ваше имущество будет арестовано. Для урегулирования долга позвоните нам.,fraud
"Звонит майор полиции. На вас открыто дело по статье о мошенничестве. Не паникуйте, позвоните нам срочно.",fraud
Добрый день. Мы зафиксировали вирусную активность на вашем устройстве. Для устранения проблемы установите приложение удалённой поддержки.,fraud
Ваш смартфон заражён опасным вирусом. Для удаления скачайте наше приложение и предоставьте доступ специалисту.,fraud
Внимание! Обнаружен вирус-шпион на вашем устройстве. Немедленно установите AnyDesk для помощи специалиста.,fraud
Служба безопасности. Ваш телефон взломан хакерами. Для защиты установите TeamViewer и позвоните нам.,fraud
Критическая угроза безопасности. Вирус перехватывает ваши пароли. Дайте удалённый доступ нашему специалисту.,fraud
Обнаружена вредоносная программа на вашем устройстве. Для устранения угрозы установите приложение поддержки.,fraud
Ваш телефон используется для рассылки спама без вашего ведома. Установите AnyDesk для очистки устройства.,fraud
Предупреждение от антивирусной службы. Троян обнаружен на вашем смартфоне. Установите Remote Support немедленно.,fraud
Вирус похищает данные вашей банковской карты. Срочно установите приложение для удалённой помощи специалиста.,fraud
Служба кибербезопасности. Ваш телефон заражён шифровальщиком. Для защиты данных предоставьте удалённый доступ.,fraud
Ваше устройство отправляет данные мошенникам. Установите TeamViewer и специалист немедленно устранит угрозу.,fraud
Обнаружен шпион на вашем телефоне. Для удаления вируса скачайте AnyDesk и дайте доступ нашему эксперту.,fraud
Внимание! Ваш смартфон заражён вирусом Pegasus. Установите приложение удалённой поддержки для помощи.,fraud
Система безопасности зафиксировала атаку на ваше устройство. Установите Remote Desktop и позвоните нам.,fraud
Вирус получил доступ к вашим банковским приложениям. Срочно установите AnyDesk для помощи специалиста.,fraud
Ваш телефон заражён и передаёт личные данные хакерам. Установите TeamViewer для немедленной очистки.,fraud
Критический вирус обнаружен. Он собирает ваши пароли и данные карт. Установите приложение поддержки срочно.,fraud
Антивирусная служба. Обнаружена угроза на вашем устройстве. Для помощи установите AnyDesk и позвоните.,fraud
Ваш смартфон заражён банковским трояном. Специалист поможет удалить его. Установите Remote Support сейчас.,fraud
Обнаружена активность хакеров на вашем устройстве. Для защиты данных установите TeamViewer немедленно.,fraud
Служба технической поддержки. Вирус заблокировал ваши приложения. Установите AnyDesk для разблокировки.,fraud
Ваш телефон в опасности. Вредоносное ПО перехватывает СМС. Установите приложение удалённой поддержки.,fraud
Предупреждение. Обнаружен вирус в вашем банковском приложении. Установите AnyDesk и позвоните специалисту.,fraud
Хакеры получили контроль над вашим устройством. Для восстановления управления установите TeamViewer срочно.,fraud
Ваш смартфон заражён и рассылает вирусы вашим контактам. Установите Remote Access Tool для помощи.,fraud
Система обнаружила аномальную активность на вашем устройстве. Установите AnyDesk для диагностики.,fraud
Вирус похищает ваши фото и документы. Для немедленной защиты данных установите приложение поддержки.,fraud
Ваш телефон используется для майнинга без вашего ведома. Для очистки установите TeamViewer и позвоните.,fraud
Обнаружено шпионское ПО на вашем смартфоне. Специалист удалит его. Установите AnyDesk для доступа.,fraud
Антивирус зафиксировал критическую угрозу. Вирус активен прямо сейчас. Установите Remote Support срочно.,fraud
Ваше устройство заражено вирусом который ворует пароли. Дайте доступ специалисту через TeamViewer.,fraud
Внимание! Вирус-вымогатель обнаружен на вашем телефоне. Для предотвращения блокировки установите AnyDesk.,fraud
Служба безопасности Google. Ваш аккаунт взломан. Для восстановления установите приложение удалённой помощи.,fraud
Хакеры используют ваш телефон для кражи данных других людей. Установите TeamViewer для помощи специалиста.,fraud
Ваше устройство участвует в кибератаке без вашего ведома. Для очистки установите Remote Desktop Tool.,fraud
Обнаружен вирус в приложении вашего банка. Срочно установите AnyDesk чтобы специалист его удалил.,fraud
Ваш телефон заражён трояном удалённого доступа. Позвольте нашему специалисту очистить устройство.,fraud
Критическая уязвимость на вашем смартфоне. Хакеры уже внутри. Установите TeamViewer для защиты.,fraud
Антивирусная служба обнаружила вирус в ваших СМС. Для удаления установите AnyDesk немедленно.,fraud
Ваш телефон заражён и передаёт данные мошенникам каждую минуту. Установите Remote Support срочно.,fraud
Обнаружена вирусная атака на ваши банковские данные. Для защиты дайте удалённый доступ специалисту.,fraud
Служба кибербезопасности. Ваши пароли под угрозой. Установите AnyDesk и специалист поможет за 5 минут.,fraud
Вирус-шпион активирован на вашем устройстве. Он записывает звонки и сообщения. Установите TeamViewer.,fraud
Предупреждение безопасности. Обнаружена несанкционированная активность. Установите Remote Access для помощи.,fraud
Ваш смартфон заражён и отправляет данные карты хакерам. Установите AnyDesk для немедленной защиты.,fraud
Техническая служба. Вирус перехватывает коды подтверждения из СМС. Установите TeamViewer для устранения.,fraud
Антивирус заблокировал угрозу но вирус активен. Для полного удаления установите приложение поддержки.,fraud
Ваше устройство заражено опасным ПО. Не совершайте платежи. Сначала установите AnyDesk для очистки.,fraud
Хакеры получили доступ к вашей камере и микрофону. Для защиты конфиденциальности установите TeamViewer.,fraud
Вирус обнаружен в системе вашего телефона. Специалист поможет удалить его через Remote Desktop Tool.,fraud
